Forced forging disabled for nethash 704f232786a9bff25d0630c06abbc34957448ba6309d6dcef949cf9a6f43954a
[inf] 2017-12-21 01:00:32 | Block 111619203533310175 loaded from: 146.185.158.174:18124 - height: 120
[inf] 2017-12-21 01:00:32 | Block 4198007917179687891 loaded from: 146.185.158.174:18124 - height: 121
[inf] 2017-12-21 01:00:32 | Block 9070144522760685690 loaded from: 146.185.158.174:18124 - height: 122
[inf] 2017-12-21 01:00:32 | Block 12073518135991990203 loaded from: 146.185.158.174:18124 - height: 123
[inf] 2017-12-21 01:00:32 | Block 18086936826298331365 loaded from: 146.185.158.174:18124 - height: 124
[inf] 2017-12-21 01:00:32 | Block 868941057375983424 loaded from: 146.185.158.174:18124 - height: 125
[inf] 2017-12-21 01:00:32 | Block 5236108156690016255 loaded from: 146.185.158.174:18124 - height: 126
[inf] 2017-12-21 01:00:32 | Block 2094527716768396033 loaded from: 146.185.158.174:18124 - height: 127
[inf] 2017-12-21 01:00:32 | Block 9757341512812866964 loaded from: 146.185.158.174:18124 - height: 128
[inf] 2017-12-21 01:00:32 | Block 2983503063888546512 loaded from: 146.185.158.174:18124 - height: 129
[inf] 2017-12-21 01:00:32 | Block 10985911074709022553 loaded from: 146.185.158.174:18124 - height: 130
[inf] 2017-12-21 01:00:32 | Block 16700723674924205801 loaded from: 146.185.158.174:18124 - height: 131
[inf] 2017-12-21 01:00:32 | Block 2977060401297557234 loaded from: 146.185.158.174:18124 - height: 132
[inf] 2017-12-21 01:00:32 | Block 5656642022625913557 loaded from: 146.185.158.174:18124 - height: 133
[inf] 2017-12-21 01:00:32 | Looking for common block with: 139.59.179.52:18124
[inf] 2017-12-21 01:00:32 | Found common block: 5656642022625913557 with: 139.59.179.52:18124
[inf] 2017-12-21 01:00:32 | Loading blocks from: 139.59.179.52:18124
[inf] 2017-12-21 01:00:32 | Block 3466569080843636125 loaded from: 139.59.179.52:18124 - height: 134
[inf] 2017-12-21 01:00:32 | Block 9336767475808973810 loaded from: 139.59.179.52:18124 - height: 135
[inf] 2017-12-21 01:00:32 | Block 10979315607490128807 loaded from: 139.59.179.52:18124 - height: 136
[inf] 2017-12-21 01:00:32 | Block 5890307727405580219 loaded from: 139.59.179.52:18124 - height: 137
[inf] 2017-12-21 01:00:32 | Block 16664529305543329894 loaded from: 139.59.179.52:18124 - height: 138
[inf] 2017-12-21 01:00:32 | Block 7499317454378606163 loaded from: 139.59.179.52:18124 - height: 139
[inf] 2017-12-21 01:00:32 | Block 771381428620966374 loaded from: 139.59.179.52:18124 - height: 140
[inf] 2017-12-21 01:00:32 | Block 971871622161921397 loaded from: 139.59.179.52:18124 - height: 141
[inf] 2017-12-21 01:00:32 | Block 14725216314062541808 loaded from: 139.59.179.52:18124 - height: 142
[inf] 2017-12-21 01:00:32 | Block 12526654772452682896 loaded from: 139.59.179.52:18124 - height: 143
[inf] 2017-12-21 01:00:32 | Block 17240598615691740414 loaded from: 139.59.179.52:18124 - height: 144
[inf] 2017-12-21 01:00:32 | Block 8824726439248109908 loaded from: 139.59.179.52:18124 - height: 145
[inf] 2017-12-21 01:00:32 | Block 51045600705651523 loaded from: 139.59.179.52:18124 - height: 146
[inf] 2017-12-21 01:00:32 | Block 5445187668255319406 loaded from: 139.59.179.52:18124 - height: 147
[inf] 2017-12-21 01:00:32 | Block 3659132007628145133 loaded from: 139.59.179.52:18124 - height: 148
[inf] 2017-12-21 01:00:32 | Block 15484181024964866341 loaded from: 139.59.179.52:18124 - height: 149
[inf] 2017-12-21 01:00:32 | Block 14620027701236833029 loaded from: 139.59.179.52:18124 - height: 150
[inf] 2017-12-21 01:00:32 | Block 4269454125414435787 loaded from: 139.59.179.52:18124 - height: 151
[inf] 2017-12-21 01:00:32 | Block 8873167799418947197 loaded from: 139.59.179.52:18124 - height: 152
[inf] 2017-12-21 01:00:32 | Block 6865455944367031950 loaded from: 139.59.179.52:18124 - height: 153
[inf] 2017-12-21 01:00:32 | Block 10345330134280658597 loaded from: 139.59.179.52:18124 - height: 154
[inf] 2017-12-21 01:00:32 | Block 9868170749846652320 loaded from: 139.59.179.52:18124 - height: 155
[inf] 2017-12-21 01:00:32 | Block 17634798350140937756 loaded from: 139.59.179.52:18124 - height: 156
[inf] 2017-12-21 01:00:33 | Block 4966518287454894651 loaded from: 139.59.179.52:18124 - height: 157
[inf] 2017-12-21 01:00:33 | Block 4083069071391652609 loaded from: 139.59.179.52:18124 - height: 158
[inf] 2017-12-21 01:00:33 | Block 7491512719344180520 loaded from: 139.59.179.52:18124 - height: 159
[inf] 2017-12-21 01:00:33 | Block 7244892876907873084 loaded from: 139.59.179.52:18124 - height: 160
[inf] 2017-12-21 01:00:33 | Block 11610942610662974889 loaded from: 139.59.179.52:18124 - height: 161
[inf] 2017-12-21 01:00:33 | Block 1280232452324172634 loaded from: 139.59.179.52:18124 - height: 162
[inf] 2017-12-21 01:00:33 | Block 1348643904405981654 loaded from: 139.59.179.52:18124 - height: 163
[inf] 2017-12-21 01:00:33 | Block 2881165615977014781 loaded from: 139.59.179.52:18124 - height: 164
[inf] 2017-12-21 01:00:33 | Block 9263560830920449574 loaded from: 139.59.179.52:18124 - height: 165
[inf] 2017-12-21 01:00:33 | Block 8572114232740887572 loaded from: 139.59.179.52:18124 - height: 166
[inf] 2017-12-21 01:00:33 | Looking for common block with: 51.254.210.64:18124
[inf] 2017-12-21 01:00:33 | Found common block: 8572114232740887572 with: 51.254.210.64:18124
[inf] 2017-12-21 01:00:33 | Loading blocks from: 51.254.210.64:18124
[inf] 2017-12-21 01:00:33 | Block 13127481750963866739 loaded from: 51.254.210.64:18124 - height: 167
[inf] 2017-12-21 01:00:33 | Block 12566830097003690015 loaded from: 51.254.210.64:18124 - height: 168
[inf] 2017-12-21 01:00:33 | Block 17190771542952389015 loaded from: 51.254.210.64:18124 - height: 169
[inf] 2017-12-21 01:00:33 | Block 7589185108679481454 loaded from: 51.254.210.64:18124 - height: 170
[inf] 2017-12-21 01:00:33 | Block 8355205014592007614 loaded from: 51.254.210.64:18124 - height: 171
[inf] 2017-12-21 01:00:33 | Block 14675394760672331247 loaded from: 51.254.210.64:18124 - height: 172
[inf] 2017-12-21 01:00:33 | Block 39367316634885413 loaded from: 51.254.210.64:18124 - height: 173
[inf] 2017-12-21 01:00:33 | Block 1739091495360054718 loaded from: 51.254.210.64:18124 - height: 174
[inf] 2017-12-21 01:00:33 | Block 18394324749969060045 loaded from: 51.254.210.64:18124 - height: 175
[inf] 2017-12-21 01:00:33 | Block 14428162238683966230 loaded from: 51.254.210.64:18124 - height: 176
[inf] 2017-12-21 01:00:33 | Block 10696069463805951528 loaded from: 51.254.210.64:18124 - height: 177
[inf] 2017-12-21 01:00:33 | Block 2344211575314977830 loaded from: 51.254.210.64:18124 - height: 178
[inf] 2017-12-21 01:00:33 | Block 16876915794743583231 loaded from: 51.254.210.64:18124 - height: 179
[inf] 2017-12-21 01:00:33 | Block 11460916882465220576 loaded from: 51.254.210.64:18124 - height: 180
[inf] 2017-12-21 01:00:33 | Block 5231904565071657522 loaded from: 51.254.210.64:18124 - height: 181
[inf] 2017-12-21 01:00:33 | Block 2479631644352809860 loaded from: 51.254.210.64:18124 - height: 182
[inf] 2017-12-21 01:00:33 | Block 8892116806541829354 loaded from: 51.254.210.64:18124 - height: 183
[inf] 2017-12-21 01:00:33 | Block 1397535473509225223 loaded from: 51.254.210.64:18124 - height: 184
[inf] 2017-12-21 01:00:33 | Block 3393910034782603082 loaded from: 51.254.210.64:18124 - height: 185
[inf] 2017-12-21 01:00:33 | Block 6690268353995298488 loaded from: 51.254.210.64:18124 - height: 186
[inf] 2017-12-21 01:00:33 | Block 13759874464249506472 loaded from: 51.254.210.64:18124 - height: 187
[inf] 2017-12-21 01:00:33 | Block 7786201605921423181 loaded from: 51.254.210.64:18124 - height: 188
[inf] 2017-12-21 01:00:33 | Block 10336073880862601580 loaded from: 51.254.210.64:18124 - height: 189
[inf] 2017-12-21 01:00:33 | Block 13498395231032646737 loaded from: 51.254.210.64:18124 - height: 190
[inf] 2017-12-21 01:00:33 | Block 18044569823082836953 loaded from: 51.254.210.64:18124 - height: 191
[inf] 2017-12-21 01:00:33 | Block 7085970938496568219 loaded from: 51.254.210.64:18124 - height: 192
[inf] 2017-12-21 01:00:33 | Block 13879573265622962125 loaded from: 51.254.210.64:18124 - height: 193
[inf] 2017-12-21 01:00:33 | Block 6340707304298698159 loaded from: 51.254.210.64:18124 - height: 194
[inf] 2017-12-21 01:00:33 | Block 10689287943553572136 loaded from: 51.254.210.64:18124 - height: 195
[inf] 2017-12-21 01:00:33 | Block 9390091997396862032 loaded from: 51.254.210.64:18124 - height: 196
[inf] 2017-12-21 01:00:33 | Block 5865970891409716827 loaded from: 51.254.210.64:18124 - height: 197
[inf] 2017-12-21 01:00:33 | Block 144629115719762505 loaded from: 51.254.210.64:18124 - height: 198
[inf] 2017-12-21 01:00:33 | Block 16860035823280417697 loaded from: 51.254.210.64:18124 - height: 199
[inf] 2017-12-21 01:00:33 | Looking for common block with: 146.185.158.174:18124
[inf] 2017-12-21 01:00:33 | Found common block: 16860035823280417697 with: 146.185.158.174:18124
